"","Well","Sample","Species","Task","Reporter","Quencher","Ct","Cт.Mean","Cт.SD","Quantity","Quantity.Mean","Quantity.SD","Automatic.Ct.Threshold","Ct.Threshold","Automatic.Baseline","Baseline.Start","Baseline.End","Comments","HIGHSD","EXPFAIL","SuperMix"
"53","C9","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",NA,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,41,NA,"N","Y","SM3"
"54","C9","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",NA,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,41,NA,"N","Y","SM3"
"55","A10","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",16.86065865,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,13,NA,"Y","N","SM4"
"56","A10","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",19.90663719,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,19,NA,"Y","N","SM4"
"57","A11","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.96019936,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,14,NA,"Y","N","SM4"
"58","A11","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.99378204,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,20,NA,"Y","N","SM4"
"59","A12","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.82341194,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,15,NA,"Y","N","SM4"
"60","A12","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.76484108,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,20,NA,"Y","N","SM4"
"61","B10","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.06473351,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,20,NA,"Y","N","SM4"
"62","B10","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",26.65532494,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,26,NA,"Y","N","SM4"
"63","B11","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.78859901,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,21,NA,"Y","N","SM4"
"64","B11","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",27.23420143,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,26,NA,"Y","N","SM4"
"65","B12","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.55941391,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,21,NA,"Y","N","SM4"
"66","B12","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",27.14884949,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,26,NA,"Y","N","SM4"
"67","C10","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",30.72991943,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,27,NA,"Y","N","SM4"
