"","Well","Sample","Species","Task","Reporter","Quencher","Ct","Cт.Mean","Cт.SD","Quantity","Quantity.Mean","Quantity.SD","Automatic.Ct.Threshold","Ct.Threshold","Automatic.Baseline","Baseline.Start","Baseline.End","Comments","HIGHSD","EXPFAIL","SuperMix"
"61","B10","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.12626076,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM4"
"62","B10","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",25.24383163,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,23,NA,"Y","N","SM4"
"63","B11","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.1042099,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM4"
"64","B11","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",25.03636742,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,23,NA,"Y","N","SM4"
"65","B12","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",26.72021866,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,23,NA,"Y","N","OUT"
"66","B12","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",26.69549751,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,25,NA,"Y","N","OUT"
"67","C10","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.95352173,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,30,NA,"Y","N","SM4"
"68","C10","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",31.98212051,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,30,NA,"Y","N","SM4"
"69","C11","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.74903679,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,28,NA,"Y","N","SM4"
"70","C11","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",31.73696136,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,29,NA,"Y","N","SM4"
"71","C12","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",33.5518837,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,29,NA,"Y","N","OUT"
"72","C12","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",33.4213295,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,31,NA,"Y","N","OUT"
"73","D1","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.92963219,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,15,NA,"Y","N","SM5"
"74","D1","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",18.16531944,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,16,NA,"Y","N","SM5"
