"","Well","Sample_name","Species","Conc","Tot_drop","Positives","Negatives","plate","pres","int_concentation","species_idx","st_idx","sp_st_idx"
"153","B08","Std-CS8","Saithe",0.11402671,20636,2,20634,"Std_CS",1,0.1,3,3,18
"154","B08","Std-CS8","Cod",0.057011973,20636,1,20635,"Std_CS",1,0.1,1,3,3
"155","B09","Std-CS10","Saithe",0,17851,0,17851,"Std_CS",0,0.001,3,1,16
"156","B09","Std-CS10","Cod",0,17851,0,17851,"Std_CS",0,0.001,1,1,1
"157","C01","Std-CS7","Saithe",1.154504657,19371,19,19352,"Std_CS",1,1,3,4,19
"158","C01","Std-CS7","Cod",1.336898446,19371,22,19349,"Std_CS",1,1,1,4,4
"159","C02","Std-CS7","Saithe",0.679615259,20779,12,20767,"Std_CS",1,1,3,4,19
"160","C02","Std-CS7","Cod",1.019570112,20779,18,20761,"Std_CS",1,1,1,4,4
"161","C03","Std-CS7","Saithe",1.148647904,18445,18,18427,"Std_CS",1,1,3,4,19
"162","C03","Std-CS7","Cod",0.765640616,18445,12,18433,"Std_CS",1,1,1,4,4
"163","C04","Std-CS7","Saithe",0.79621613,19215,13,19202,"Std_CS",1,1,3,4,19
"164","C04","Std-CS7","Cod",0.91875881,19215,15,19200,"Std_CS",1,1,1,4,4
"165","C05","Std-CS7","Saithe",0.885204375,17284,13,17271,"Std_CS",1,1,3,4,19
"166","C05","Std-CS7","Cod",0.953324556,17284,14,17270,"Std_CS",1,1,1,4,4
"167","C06","Std-CS7","Saithe",1.142408848,19576,19,19557,"Std_CS",1,1,3,4,19
"168","C06","Std-CS7","Cod",1.08225441,19576,18,19558,"Std_CS",1,1,1,4,4
"169","C07","Std-CS7","Saithe",1.119578362,19975,19,19956,"Std_CS",1,1,3,4,19
"170","C07","Std-CS7","Cod",1.178533077,19975,20,19955,"Std_CS",1,1,1,4,4
"171","C08","Std-CS7","Saithe",0.90908581,20714,16,20698,"Std_CS",1,1,3,4,19
"172","C08","Std-CS7","Cod",0.965926945,20714,17,20697,"Std_CS",1,1,1,4,4
"173","C09","Std-CS10","Saithe",0,20248,0,20248,"Std_CS",0,0.001,3,1,16
"174","C09","Std-CS10","Cod",0,20248,0,20248,"Std_CS",0,0.001,1,1,1
"175","D01","Std-CS6","Saithe",10.91944885,16128,149,15979,"Std_CS",1,10,3,5,20
"176","D01","Std-CS6","Cod",9.300789833,16128,127,16001,"Std_CS",1,10,1,5,5
"177","D02","Std-CS6","Saithe",9.318963051,20913,165,20748,"Std_CS",1,10,3,5,20
"178","D02","Std-CS6","Cod",10.51032543,20913,186,20727,"Std_CS",1,10,1,5,5
"179","D03","Std-CS6","Saithe",9.126214981,19800,153,19647,"Std_CS",1,10,3,5,20
"180","D03","Std-CS6","Cod",10.084692,19800,169,19631,"Std_CS",1,10,1,5,5
"181","D04","Std-CS6","Saithe",11.61330986,18223,179,18044,"Std_CS",1,10,3,5,20
"182","D04","Std-CS6","Cod",11.41772556,18223,176,18047,"Std_CS",1,10,1,5,5
"183","D05","Std-CS6","Saithe",12.14892197,19565,201,19364,"Std_CS",1,10,3,5,20
"184","D05","Std-CS6","Cod",10.44899559,19565,173,19392,"Std_CS",1,10,1,5,5
"185","D06","Std-CS6","Saithe",10.08996201,20141,172,19969,"Std_CS",1,10,3,5,20
"186","D06","Std-CS6","Cod",10.38457298,20141,177,19964,"Std_CS",1,10,1,5,5
"187","D07","Std-CS6","Saithe",9.186501503,19542,152,19390,"Std_CS",1,10,3,5,20
"188","D07","Std-CS6","Cod",8.276741982,19542,137,19405,"Std_CS",1,10,1,5,5
"189","D08","Std-CS6","Saithe",9.754776001,20709,171,20538,"Std_CS",1,10,3,5,20
"190","D08","Std-CS6","Cod",10.72898388,20709,188,20521,"Std_CS",1,10,1,5,5
"191","D09","Std-CS10","Saithe",0,20805,0,20805,"Std_CS",0,0.001,3,1,16
"192","D09","Std-CS10","Cod",0.056548852,20805,1,20804,"Std_CS",1,0.001,1,1,1
"193","E01","Std-CS5","Saithe",104.9531708,19743,1685,18058,"Std_CS",1,100,3,6,21
"194","E01","Std-CS5","Cod",108.8686523,19743,1745,17998,"Std_CS",1,100,1,6,6
"195","E02","Std-CS5","Saithe",97.70462036,19600,1562,18038,"Std_CS",1,100,3,6,21
"196","E02","Std-CS5","Cod",106.8712845,19600,1702,17898,"Std_CS",1,100,1,6,6
"197","E03","Std-CS5","Saithe",100.1329193,17845,1456,16389,"Std_CS",1,100,3,6,21
"198","E03","Std-CS5","Cod",106.033989,17845,1538,16307,"Std_CS",1,100,1,6,6
"199","E04","Std-CS5","Saithe",91.47203827,18889,1413,17476,"Std_CS",1,100,3,6,21
